Price
140
140
140
137.5
138
138
140
140
140
140
140
134
127
127
125
129
120.5
117
117
115
119
120
125
125
125
125
125
124
127
127
123.19
127
127
126
127.5
125
123.19
123.49
123.98
124.99
121.49
124.99
124.6
125.99
116
107.15
105
105
104.51
105
105
105
104
105
105
105.05
108
110
110
110
109
112
112
111
111
115
115
109.9
115
116
115
115
116
116
120
124
124.99
123
123
123
123
124
126.48
124
124
121
121
124
125
120
115
115
115
121.8
110
100
94
99
112.92
98
88.58
86
70
68
60.5
56
54.5
47.5
46
45.3
45.3
43.9
42.6
41
41
41
40
40
40
40
39.1
39
39
38.2
38.32
38.2
36
36
36
36
36.1
36.1
36
37
34
34
34.2
34.2
34.2
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
36
33.5
32
32
32
32
32
32
31.3
31.3
31.3
31.3
31.3
31.3
31.2
35.98
35.98
35.99
35.99
35.99
36
33.5
33.5
33.51
33.51
33.51
38
38
38
38
38
36
36
36
36
36
36
36
36
36
36
36
36
36
36
35.01
35.01
35.01
35.01
36.5
36.5
37
37.99
37.99
37.99
38
38
38
36
34.9
34.9
0
34.9
34.9
