Cierre
29.51
29.84
30.42
31.21
31.24
31.25
31.23
32.31
31.53
30.44
33.2
33.76
34.08
33.23
33.39
33.58
33.72
33.23
34.23
33.09
32.15
31.93
31.4
31.43
31.38
33.06
32.18
33.24
33.88
33.65
32.89
31.16
31.96
31.5
31.88
30.42
30.81
32.66
28.57
31.18
30.43
34.94
38.4
41.16
42.88
42.6
43.33
42.42
42.44
42.14
41.72
41.43
41.35
40.69
38.8
39.12
39.28
39.6
41.08
41.96
40.38
39.51
39.33
39.83
39.35
38.3
40.08
40.97
40.57
39.97
37.53
37.62
37.36
36.41
35.84
35.96
36.35
36.51
36.79
37.06
36.89
35.81
35.74
34.82
35.19
36.62
37.8
37.17
36.35
37.05
36.91
33.98
34.03
34.66
35.11
34.99
36.96
36.84
35.46
33.11
32.9
31.74
29.55
30.43
29.23
30.34
29.23
27.69
29.76
31.69
32.46
32.69
31.91
31.91
32.5
31.7
32.49
33.19
32.3
33.74
34.26
34.97
33.49
33.67
34.12
34.26
32.31
32.06
33.31
33.82
34.01
34.19
34.66
34.14
33.6
33.98
34.73
35.01
37.12
37.88
35.64
34.65
35.03
35.5
34.84
35.44
33.97
30.71
31.54
29.89
30.39
31.48
31.3
31.56
31.88
30.17
30.9
29.52
29.59
29
30.05
29.36
29.3
31.07
31.16
30.45
30.4
31.05
31.69
32.55
32.8
32.75
33.04
33.6
32.44
32.34
33.41
33.19
33.98
34.67
34.75
32.32
31.89
32.3
32.57
33.72
33.43
31.59
30.72
30.68
30.1
29.47
30.62
30.69
31.1
30.12
30.72
31.27
30.51
29.46
29.39
30.77
31.99
30.72
30.84
30.24
30.41
29.44
29.15
28.66
26.75
27.16
27.72
26.9
27.46
26.81
22
20.68
20.76
21.25
20.71
19.18
19.16
19.19
19.8
19.37
19.53
20.14
20.27
19.62
18.96
16.87
17.03
16.17
15.89
16.59
16.75
17.6
17.15
17.05
17.42
17.54
17.45
18.02
17.13
15.85
15.83
15.31
16.09
16.05
14.76
13.26
13.16
12.96
12.74
13.53
12.55
12.07
12.58
15.17
