"x"
10845.26
10683.86
10844.58
10987.39
11015.01
10980.96
10898.67
11017.28
10629.29
10515.25
10987.43
11322.71
11326.98
11051.3
10911.44
11050.89
11070.84
11180.81
11462.45
11160.05
10944.18
10817.29
10599.46
10459.92
10441.2
10957.02
10764.59
10890.48
10857.87
10831.92
10621.14
10109.91
10287.21
10176.73
10554.04
10120.46
10154.64
10321.97
9455.38
9912.98
9205.58
11194.12
12347.65
13008.94
13720.65
13859.45
14105.86
13918.84
13728.09
13824.16
13729.81
13899.54
13884.95
13837.19
13358.47
13622.13
13849.46
14094.58
14545.54
14795.87
14558.02
14206.67
14205.86
14302.27
14217.81
13857.12
14742.07
15110.37
14933.18
14835.36
14333.16
14295.13
14180.44
13525.93
13510.06
13670.27
13813.56
13997.4
14100.74
14043.42
14180.53
13787.8
13771.31
13776.85
13659.73
14060
14880.39
14770.27
14876.37
15105.96
15247.81
14665.81
14782.81
14991.34
14904.03
14803.97
15146.71
14984.46
14753.68
14126.68
13506.65
13482.99
13367.44
13264.7
12984.21
13137.58
12996.89
12387.58
13319.5
13675.37
13681.67
13732.68
13202.32
13023.73
13644.16
13283.31
14104.9
14632.4
14083.48
15308.62
15803.17
16009.41
15273.39
15295.97
15924.06
15806.38
15199.29
15416.31
15879.81
16125.34
16348.55
16345.77
16220.93
15923.66
16414.53
16633.97
16877.66
17155.14
17832.86
18363.29
17781.02
17615.69
17410.59
17450.15
17064.58
16999.1
16472.28
15443.18
15318.92
14965.93
14921.29
15088.66
15170.73
15411
15242.48
14782.38
15016.97
14668.59
14679.91
14294.73
14582.22
14106.17
13847.36
14350.14
14319.34
13955.47
13713.62
13891.71
13881.97
13888.51
13695.33
13610.61
13432.69
13415.77
12926.4
13119.44
13462.38
13413.12
13609.22
13715.06
13822.59
13369.88
13395.81
13417.14
13478.75
13683.66
13467.29
13094.42
12952.38
12906.98
12709.93
12525.69
12905.85
12967.38
13098.54
12994.8
13032.06
12983.99
12853.27
12310.49
12240.53
12651.97
13114.86
12806.07
13091.05
12806.77
13223.9
12824.32
12344.89
12420.3
11326.03
11297.93
11548.15
11353.11
11221.56
10688.16
8810.51
8343.31
8277.21
8505.12
8368.52
7881.11
7913.94
7979.25
8188.2
8136.44
8131.49
8317.17
8377.71
8255.36
8030.85
7436.87
7583.06
7182.8
6942.52
7253.31
7420.39
7756.3
7617.88
7531.15
7499.49
7520.52
7547.49
7773.23
7781.45
7463.1
7478.74
7524.99
7548.22
7485.69
6563.65
6089.34
6079.13
5944.47
5813.72
6202.22
5986.78
5713.35
5857.7
6922.71
