"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2019","13,367.44","13,264.70","13,510.47","13,264.70","410.69M","0.77%"
"12/30/2018","13,264.70","12,983.27","13,288.50","12,943.64","302.94M","2.16%"
"12/23/2018","12,984.21","13,135.10","13,152.85","12,634.70","316.90M","-1.17%"
"12/16/2018","13,137.58","12,998.32","13,223.63","12,910.03","582.58M","1.08%"
"12/09/2018","12,996.89","12,387.82","13,019.84","12,076.83","534.76M","4.92%"
"12/02/2018","12,387.58","13,305.12","13,305.12","12,387.58","466.54M","-7.00%"
"11/25/2018","13,319.50","13,559.31","13,559.31","13,040.28","662.31M","-2.60%"
"11/18/2018","13,675.37","13,714.79","14,005.28","13,675.37","630.50M","-0.05%"
"11/11/2018","13,681.67","13,735.08","13,776.69","13,465.04","843.09M","-0.37%"
"11/04/2018","13,732.68","13,202.09","13,746.33","13,161.52","868.10M","4.02%"
"10/28/2018","13,202.32","13,030.37","13,378.62","12,956.29","630.77M","1.37%"
"10/21/2018","13,023.73","13,602.20","13,669.39","12,991.27","550.88M","-4.55%"
"10/14/2018","13,644.16","13,283.58","13,845.25","13,283.58","503.16M","2.72%"
"10/07/2018","13,283.31","14,107.43","14,110.65","13,174.06","448.41M","-5.82%"
"09/30/2018","14,104.90","14,633.10","14,810.98","14,070.54","462.90M","-3.61%"
"09/23/2018","14,632.40","14,084.25","14,647.83","14,084.25","576.73M","3.90%"
"09/16/2018","14,083.48","15,299.18","15,299.18","14,054.52","717.09M","-8.00%"
"09/09/2018","15,308.62","15,803.52","15,817.59","15,308.62","353.44M","-3.13%"
"09/02/2018","15,803.17","15,968.61","16,004.75","15,720.17","559.29M","-1.29%"
"08/26/2018","16,009.41","15,272.69","16,021.65","15,071.36","602.95M","4.82%"
"08/19/2018","15,273.39","15,295.98","15,295.98","15,237.32","39.67M","-0.15%"
"08/12/2018","15,295.97","15,922.31","15,922.31","15,287.13","463.27M","-3.94%"
"08/05/2018","15,924.06","15,807.38","15,983.94","15,639.09","554.75M","0.74%"
"07/29/2018","15,806.38","15,200.25","15,812.53","15,200.25","658.86M","3.99%"
"07/22/2018","15,199.29","15,416.28","15,559.27","15,092.09","592.34M","-1.41%"
"07/15/2018","15,416.31","15,883.90","15,925.10","15,416.31","439.26M","-2.92%"
"07/08/2018","15,879.81","16,127.44","16,242.10","15,499.37","802.18M","-1.52%"
"07/01/2018","16,125.34","16,382.21","16,456.66","16,099.25","801.22M","-1.37%"
"06/24/2018","16,348.55","16,349.99","16,571.86","16,142.67","759.04M","0.02%"
"06/17/2018","16,345.77","16,236.97","16,351.18","16,021.94","469.10M","0.77%"
"06/10/2018","16,220.93","15,925.30","16,282.63","15,874.47","470.60M","1.87%"
"06/03/2018","15,923.66","16,414.53","16,717.95","15,781.85","660.28M","-2.99%"
"05/27/2018","16,414.53","16,633.97","17,052.27","16,335.92","740.39M","-1.32%"
"05/20/2018","16,633.97","16,877.66","16,937.20","16,633.11","583.14M","-1.44%"
"05/13/2018","16,877.66","17,156.78","17,360.23","16,868.96","920.94M","-1.62%"
"05/06/2018","17,155.14","17,844.50","17,941.53","17,153.68","1.04B","-3.80%"
"04/29/2018","17,832.86","18,388.01","18,414.11","17,832.68","913.43M","-2.89%"
"04/22/2018","18,363.29","17,802.99","18,401.24","17,802.99","1.29B","3.27%"
"04/15/2018","17,781.02","17,616.81","17,904.88","17,585.57","1.14B","0.94%"
"04/08/2018","17,615.69","17,431.91","18,082.16","17,394.52","975.56M","1.18%"
"04/01/2018","17,410.59","17,528.18","17,779.90","17,394.62","2.93B","-0.23%"
"03/25/2018","17,450.15","17,030.81","17,461.20","16,892.86","2.86B","2.26%"
"03/18/2018","17,064.58","17,016.18","17,331.10","17,016.18","1.89B","0.39%"
"03/11/2018","16,999.10","16,478.09","17,113.80","16,324.98","1.57B","3.20%"
"03/04/2018","16,472.28","15,456.89","16,493.03","15,414.18","976.79M","6.66%"
"02/25/2018","15,443.18","15,332.97","15,721.41","15,332.97","991.89M","0.81%"
"02/18/2018","15,318.92","15,004.62","15,351.65","15,004.62","1.20B","2.36%"
"02/11/2018","14,965.93","14,929.18","14,998.97","14,659.98","954.43M","0.30%"
"02/04/2018","14,921.29","15,067.25","15,067.25","14,468.09","820.99M","-1.11%"
"01/28/2018","15,088.66","15,170.73","15,401.53","15,026.19","879.69M","-0.54%"
"01/21/2018","15,170.73","15,418.32","15,472.43","15,154.78","827.97M","-1.56%"
"01/14/2018","15,411.00","15,257.53","15,419.44","15,076.64","1.25B","1.11%"
"01/07/2018","15,242.48","14,784.83","15,259.83","14,778.97","886.72M","3.11%"
"12/31/2017","14,782.38","15,030.29","15,060.10","14,782.38","511.72M","-1.56%"
"12/24/2017","15,016.97","14,670.32","15,035.30","14,667.39","517.81M","2.38%"
"12/17/2017","14,668.59","14,685.75","14,785.25","14,625.00","690.09M","-0.08%"
