Price
97.8
97
99.5
100
97.28
97.15
93.33
94.03
97.5
103
101.42
93
106.4
117.9
89.95
89.99
96
93.5
93.3
93.5
99.95
106
105
100.37
104.11
115
116.86
113.5
113.5
111.15
115.13
116.87
112.1
116.24
120
119.16
115.74
113.48
112.51
128.45
133
138.72
128
126.64
116.92
116.47
112
105.06
113
135.51
117.94
133
114.37
106
96.01
100.25
100.25
103
109.8
112.14
101.99
124.81
91.6
93.04
91
92.3
92.55
94.9
99.91
95.1
97.53
93.01
98.5
97.99
98.81
102.03
100
104.99
102.77
95.1
89.92
88.19
86.5
93
93.16
85.55
93.11
101
88.92
88.36
97.94
96.07
100.94
108
100
109.02
110.74
101.85
105
117.63
125
123.99
95.18
104.16
144.47
100
103.39
102.38
93.95
99.53
92.5
95.21
92.73
99
95.61
98.5
86.13
86.5
87.44
85
89.02
80.15
75.98
94.45
90.52
95.15
126.97
132
126.34
115
93.52
94.99
94.8
93.58
99.7
92.93
108.46
98.78
82.58
94.01
91.29
112.68
91.41
84.71
91.48
98.36
102.84
103.38
103.14
100.51
106.02
133.3
129
163.91
179.99
122.22
103.1
101.03
124.2
120.81
93.46
105.5
70.5
80.25
108.73
144
149.8
157.5
163
128
131
90
110
109.7
138
149.5
121
93
80.5
80.5
84.1
101.75
119.75
115
127
127
129.75
125
102.5
85.5
88
92.75
85.5
85
85
85
82
93
89
85
93
99.5
99.5
84
84
84
83.5
84
82.5
82.5
81.5
90
96
100
113
113
119
115
113
102.5
102.5
104
115
113.02
98
119
119
120
120
120
120
125
119.5
106
105.01
115
115
115
115
115
125
125
125
122
122
115
102.5
116
112
118
118.75
118.75
117.5
110.1
118.9
118.9
105
95
98
95
92
92
92
92
96
96
96
96
96
110.5
102
95
95
95
95
95
95
95
95
95
99.5
93.5
93.5
91.5
94
94
94
94
94
91.75
91.75
91.5
91.5
91.5
91.5
91.5
91.5
91.5
91.5
91.5
94
90
92
85
85
80
80
80
80
80
80
80
80.25
80
80
80.05
80.05
80.05
80
80
80
80
80
80
85
78.51
78.51
78.51
77.25
77.25
77.25
77.25
77.25
77.25
77.25
71.5
71.5
71.5
71.5
71.5
71.5
71.5
71.5
71.5
75
75
75
75
80
80
78.8
78.8
78.8
78.8
78.8
76.5
79
82
82
81
83
80
