"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2020","15.42","13.54","16.29","13.21","4.14M","13.87%"
"05/17/2020","13.54","13.43","13.89","12.34","9.24M","3.67%"
"05/10/2020","13.06","14.15","15.32","12.75","2.15M","-8.15%"
"05/03/2020","14.22","12.19","14.56","11.42","6.16M","13.37%"
"04/26/2020","12.54","12.39","14.74","11.81","1.91M","3.15%"
"04/19/2020","12.16","12.66","13.12","11.79","3.08M","-3.28%"
"04/12/2020","12.57","16.77","16.77","12.37","789.97K","-22.82%"
"04/05/2020","16.29","12.65","17.72","12.65","3.50M","31.27%"
"03/29/2020","12.41","20.09","20.09","11.23","1.61M","-36.92%"
"03/22/2020","19.67","22.23","22.53","18.30","1.56M","-11.39%"
"03/15/2020","22.20","26.83","28.73","21.08","1.82M","-23.28%"
"03/08/2020","28.94","26.23","29.60","23.10","1.45M","5.12%"
"03/01/2020","27.53","29.70","31.42","26.99","2.05M","-8.09%"
"02/23/2020","29.95","30.53","33.41","27.46","3.50M","-5.07%"
"02/16/2020","31.55","28.73","32.73","27.78","2.35M","9.84%"
"02/09/2020","28.73","25.09","29.66","24.06","8.76M","14.82%"
"02/02/2020","25.02","28.51","28.51","24.92","3.76M","-9.62%"
"01/26/2020","27.68","28.29","28.75","26.92","978.15K","-2.76%"
"01/19/2020","28.47","28.54","28.75","28.33","1.57M","-0.07%"
"01/12/2020","28.49","28.63","28.83","28.31","2.51M","-0.30%"
"01/05/2020","28.57","29.35","29.35","27.53","15.39M","-2.36%"
"12/29/2019","29.26","29.60","30.64","29.03","1.47M","-0.36%"
"12/22/2019","29.37","28.50","29.60","27.70","465.78K","3.90%"
"12/15/2019","28.27","27.40","30.00","27.21","1.56M","3.15%"
"12/08/2019","27.40","27.50","28.25","26.78","4.13M","-0.35%"
"12/01/2019","27.50","28.60","28.89","27.08","3.52M","-3.95%"
"11/24/2019","28.63","28.96","29.22","27.70","745.45K","-0.80%"
"11/17/2019","28.86","29.71","30.07","28.52","1.28M","-2.49%"
"11/10/2019","29.60","30.21","30.22","28.46","1.48M","-1.91%"
"11/03/2019","30.17","32.37","32.37","29.70","1.22M","-5.63%"
"10/27/2019","31.97","30.45","32.48","29.18","925.04K","6.07%"
"10/20/2019","30.14","30.81","30.99","29.46","938.26K","-1.38%"
"10/13/2019","30.57","32.69","33.16","30.44","878.80K","-6.29%"
"10/06/2019","32.62","34.75","34.75","32.16","436.82K","-5.31%"
"09/29/2019","34.45","35.14","35.36","34.03","788.41K","-0.61%"
"09/22/2019","34.66","34.83","35.69","33.78","458.03K","-1.93%"
"09/15/2019","35.34","35.04","35.98","33.54","366.88K","0.68%"
"09/08/2019","35.10","35.24","36.02","34.28","793.41K","-0.38%"
"09/01/2019","35.23","34.41","35.49","32.88","1.17M","3.81%"
"08/25/2019","33.94","33.79","34.93","32.99","942.78K","0.65%"
"08/18/2019","33.72","35.41","36.13","31.82","3.26M","-4.79%"
"08/11/2019","35.41","38.33","38.33","33.58","2.47M","-6.83%"
"08/04/2019","38.01","38.79","39.00","36.65","601.98K","-2.70%"
"07/28/2019","39.06","39.84","40.43","38.68","941.19K","-2.18%"
"07/21/2019","39.94","37.63","41.98","36.47","2.33M","6.93%"
"07/14/2019","37.35","41.20","41.49","36.99","1.53M","-9.37%"
"07/07/2019","41.21","40.80","42.16","40.15","1.35M","1.01%"
"06/30/2019","40.80","41.08","41.44","39.51","832.56K","-0.07%"
"06/23/2019","40.83","42.16","42.16","39.76","2.39M","-3.33%"
"06/16/2019","42.24","43.69","43.69","41.27","2.43M","-3.94%"
"06/09/2019","43.97","40.96","45.02","40.56","4.25M","7.60%"
"06/02/2019","40.87","43.00","43.00","38.91","2.12M","-4.76%"
"05/26/2019","42.91","43.12","43.12","41.20","3.92M","-0.27%"
"05/19/2019","43.02","41.28","43.12","40.25","2.91M","4.22%"
"05/12/2019","41.28","42.18","43.10","40.79","2.78M","-2.36%"
"05/05/2019","42.27","42.26","43.60","40.72","8.24M","-0.43%"
"04/28/2019","42.46","40.72","43.12","39.77","4.73M","4.28%"
"04/21/2019","40.71","39.52","41.68","39.32","552.25K","3.01%"
"04/14/2019","39.52","38.88","39.96","38.52","761.62K","1.65%"
"04/07/2019","38.88","37.59","39.25","35.64","1.54M","3.60%"
"03/31/2019","37.53","39.90","40.82","37.16","1.22M","-5.68%"
