"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2021","10.47","11.30","11.38","10.38","1.49M","-6.43%"
"10/03/2021","11.19","11.33","11.49","10.88","668.46K","-2.19%"
"09/26/2021","11.44","12.54","12.93","11.13","1.80M","-8.77%"
"09/19/2021","12.54","13.57","13.74","12.17","1.72M","-9.52%"
"09/12/2021","13.86","14.81","14.86","13.34","1.39M","-6.85%"
"09/05/2021","14.88","15.81","15.99","14.70","1.21M","-6.24%"
"08/29/2021","15.87","15.25","16.47","14.85","1.52M","4.00%"
"08/22/2021","15.26","15.25","15.98","14.76","2.60M","-0.07%"
"08/15/2021","15.27","15.00","16.19","14.70","4.54M","0.86%"
"08/08/2021","15.14","17.23","17.24","14.70","11.27M","-11.82%"
"08/01/2021","17.17","17.27","17.75","16.30","11.58M","0.18%"
"07/25/2021","17.14","14.86","17.40","14.86","15.36M","15.58%"
"07/18/2021","14.83","12.98","14.85","12.61","21.86M","14.16%"
"07/11/2021","12.99","10.75","13.62","10.75","27.48M","20.84%"
"07/04/2021","10.75","10.37","10.80","9.99","23.25M","4.98%"
"06/27/2021","10.24","8.91","10.35","8.90","19.12M","14.93%"
"06/20/2021","8.91","7.42","9.05","7.25","27.43M","20.73%"
"06/13/2021","7.38","7.38","7.90","7.34","12.23M","0.00%"
"06/06/2021","7.38","8.12","8.25","7.27","10.08M","-7.75%"
"05/30/2021","8.00","6.63","8.12","6.41","5.83M","20.66%"
"05/23/2021","6.63","7.35","7.35","6.58","4.23M","-8.17%"
"05/16/2021","7.22","7.70","7.71","7.02","2.58M","-6.23%"
"05/09/2021","7.70","7.77","8.45","6.90","6.54M","-0.26%"
"05/02/2021","7.72","9.18","9.20","7.65","8.29M","-15.63%"
"04/25/2021","9.15","9.83","9.87","8.82","6.67M","-7.01%"
"04/18/2021","9.84","10.55","10.55","9.75","1.81M","-6.29%"
"04/11/2021","10.50","9.89","10.59","9.65","1.10M","6.17%"
"04/04/2021","9.89","9.86","10.02","9.40","1.09M","1.54%"
"03/28/2021","9.74","10.20","10.27","9.52","1.71M","-5.34%"
"03/21/2021","10.29","10.40","10.60","9.50","4.42M","-0.77%"
"03/14/2021","10.37","11.05","11.08","10.31","803.41K","-5.73%"
"03/07/2021","11.00","10.50","11.11","10.37","2.73M","6.38%"
"02/28/2021","10.34","11.31","11.31","10.15","5.96M","-8.66%"
"02/21/2021","11.32","11.37","11.73","10.89","652.44K","-0.44%"
"02/14/2021","11.37","11.82","12.03","11.10","1.81M","-4.45%"
"02/07/2021","11.90","11.00","12.05","10.91","4.32M","8.18%"
"01/31/2021","11.00","10.78","11.01","10.32","839.26K","4.17%"
"01/24/2021","10.56","11.30","11.39","10.35","1.71M","-6.38%"
"01/17/2021","11.28","11.94","12.04","11.02","2.06M","-5.29%"
"01/10/2021","11.91","12.10","12.12","11.68","1.26M","-0.25%"
"01/03/2021","11.94","12.42","12.42","11.85","750.91K","-3.86%"
"12/27/2020","12.42","11.60","12.70","10.90","1.27M","7.44%"
"12/20/2020","11.56","11.64","11.90","10.80","972.84K","-0.69%"
"12/13/2020","11.64","11.90","12.39","11.55","1.27M","-2.18%"
"12/06/2020","11.90","11.80","11.95","11.32","1.77M","0.85%"
"11/29/2020","11.80","11.52","11.96","11.25","2.51M","2.43%"
"11/22/2020","11.52","11.40","11.89","11.17","1.08M","1.50%"
"11/15/2020","11.35","10.80","11.37","10.75","1.61M","5.48%"
"11/08/2020","10.76","10.69","11.20","10.45","2.32M","2.38%"
"11/01/2020","10.51","11.00","11.14","9.91","3.64M","-5.57%"
"10/25/2020","11.13","11.47","11.95","10.94","1.07M","-3.22%"
"10/18/2020","11.50","11.65","11.66","11.06","864.88K","-1.29%"
"10/11/2020","11.65","10.90","11.85","10.73","2.39M","6.88%"
"10/04/2020","10.90","10.95","11.10","10.72","990.70K","-0.46%"
"09/27/2020","10.95","11.00","11.12","10.66","759.76K","0.00%"
"09/20/2020","10.95","11.05","11.32","10.68","2.18M","-1.26%"
"09/13/2020","11.09","11.21","11.70","11.00","847.74K","-0.89%"
"09/06/2020","11.19","11.70","11.97","11.01","1.31M","-1.32%"
"08/30/2020","11.34","12.80","12.80","11.14","3.03M","-10.00%"
"08/23/2020","12.60","12.22","12.73","11.57","1.67M","4.56%"
"08/16/2020","12.05","11.49","12.22","10.90","3.05M","5.06%"
"08/09/2020","11.47","12.24","12.32","11.40","2.21M","-6.14%"
"08/02/2020","12.22","12.89","13.00","11.93","2.40M","-4.46%"
"07/26/2020","12.79","13.35","13.47","11.87","842.52K","-4.41%"
"07/19/2020","13.38","13.20","14.26","12.53","1.87M","2.92%"
"07/12/2020","13.00","11.85","13.50","11.65","1.03M","9.61%"
"07/05/2020","11.86","11.79","12.15","11.26","673.12K","0.76%"
"06/28/2020","11.77","12.02","12.20","11.47","623.58K","-2.08%"
"06/21/2020","12.02","12.54","13.00","11.87","750.21K","-4.07%"
"06/14/2020","12.53","11.72","13.22","11.62","1.51M","4.77%"
"06/07/2020","11.96","13.42","13.55","11.76","2.31M","-9.53%"
"05/31/2020","13.22","11.98","14.02","11.57","4.33M","10.54%"
"05/24/2020","11.96","12.40","12.75","11.71","14.59M","-3.39%"
"05/17/2020","12.38","13.03","13.03","11.50","10.23M","-3.13%"
"05/10/2020","12.78","14.48","14.48","12.40","2.71M","-11.86%"
"05/03/2020","14.50","14.50","14.80","13.74","1.92M","0.00%"
"04/26/2020","14.50","12.88","15.98","12.87","2.61M","12.06%"
"04/19/2020","12.94","14.29","14.50","12.00","1.71M","-10.82%"
"04/12/2020","14.51","14.83","16.00","13.88","2.05M","-2.09%"
"04/05/2020","14.82","14.07","15.15","13.57","2.66M","7.47%"
"03/29/2020","13.79","16.05","17.90","12.70","1.76M","-13.92%"
"03/22/2020","16.02","16.02","17.59","14.87","1.80M","1.97%"
"03/15/2020","15.71","16.51","18.00","14.00","3.09M","-7.70%"
"03/08/2020","17.02","19.01","19.04","15.30","3.94M","-14.52%"
"03/01/2020","19.91","20.90","21.80","19.80","2.37M","-5.15%"
"02/23/2020","20.99","22.80","22.80","19.50","1.26M","-7.82%"
"02/16/2020","22.77","23.10","23.44","22.51","1.47M","-1.39%"
"02/09/2020","23.09","22.52","23.40","22.50","1.34M","2.26%"
"02/02/2020","22.58","23.79","24.00","22.28","780.60K","-4.32%"
"01/26/2020","23.60","23.14","24.24","22.26","975.25K","2.12%"
"01/19/2020","23.11","22.90","23.32","22.47","1.31M","1.05%"
"01/12/2020","22.87","22.92","23.08","22.21","1.01M","-0.13%"
"01/05/2020","22.90","23.60","23.89","22.62","589.82K","-2.64%"
"12/29/2019","23.52","23.72","24.45","23.05","375.85K","-0.04%"
"12/22/2019","23.53","23.35","23.60","22.80","631.66K","1.12%"
"12/15/2019","23.27","22.41","23.50","22.08","1.64M","4.12%"
"12/08/2019","22.35","22.13","22.57","21.59","1.45M","1.45%"
"12/01/2019","22.03","23.00","23.02","21.52","1.73M","-4.18%"
"11/24/2019","22.99","22.78","23.25","21.85","1.31M","0.61%"
"11/17/2019","22.85","22.00","23.00","21.72","1.18M","4.10%"
"11/10/2019","21.95","23.30","23.41","21.68","3.12M","-5.83%"
"11/03/2019","23.31","23.96","24.45","23.20","937.20K","-2.71%"
"10/27/2019","23.96","21.90","24.00","21.65","2.98M","9.91%"
"10/20/2019","21.80","22.15","22.82","21.65","3.27M","-1.36%"
"10/13/2019","22.10","22.14","22.79","21.76","940.57K","0.14%"
"10/06/2019","22.07","22.53","22.53","21.71","940.29K","-2.09%"
