Price						
15						
15.3						
15.2						
15						
14.95						
15						
14.84						
14.95						
14.95						
14.95						
14.6						
14.65						
14.65						
14.5						
14.6						
14.45						
14.4						
14.4						
14.4						
14						
14						
14						
14						
14.01						
13.9						
13.91						
14						
14						
13.6						
13.7						
13.7						
13.66						
13.7						
13.65						
13.3						
13.2						
13.1						
12.6						
12.65						
12.7						
12.65						
12.66						
12.69						
12.7						
12.8						
12.8						
12.85						
12.8						
12.81						
12.8						
12.8						
12.7						
12.96						
12.99						
12.49						
12.3						
12.3						
12.3						
12.1						
12.2						
12.3						
12.3						
12.35						
12.5						
12.5						
12						
12.33						
12.34						
12.34						
12.3						
12.34						
12.2						
12.34						
12.15						
12.4						
12.42						
12.26						
12.15						
11.9						
12.15						
12.12						
12.15						
12.15						
12.15						
12.4						
12.5						
12						
11.98						
11.99						
12						
12						
12.15						
12						
11.95						
11.97						
12.34						
12						
12						
12						
12						
12						
12						
12.46						
11.71						
11.15						
11.13						
11.3						
10.87						
10.8						
10.9						
10.93						
11						
11						
11						
11.05						
10.95						
11						
10.5						
10.03						
10.05						
10.1						
9.65						
9.68						
9.68						
9.8						
9.7						
9.73						
9.68						
9.7						
9.75						
9.65						
9.99						
9.81						
9.65						
10.44						
10.4						
10.5						
10						
10						
9.6						
9.75						
9.9						
10						
9.6						
9.5						
9.5						
9.54						
9.5						
9.5						
9.41						
9.44						
9.5						
9.4						
9.63						
9.65						
9.9						
9.3						
9.3						
9.25						
9.3						
8.8						
9						
8.6						
8.6						
8.6						
8.78						
8.86						
8.71						
8.95						
8.6						
8.74						
8.75						
8.62						
8.62						
8.85						
8.7						
8.5						
9						
8.66						
8.69						
9.2						
8.7						
9.15						
8.79						
8.95						
9						
9.5						
9.5						
9.29						
9.3						
9.3						
9.69						
9.7						
9.7						
9.9						
9.85						
10.15						
10.38						
10.5						
10.76						
10.99						
10.81						
10.9						
11.05						
11.3						
11.3						
11.3						
11.2						
10.85						
11.12						
10.55						
10.3						
10.5						
11						
11.47						
11.72						
11.4						
11.86						
12						
12.14						
12.4						
12.49						
12.5						
12.05						
12.48						
11.9						
12.15						
12.15						
12.35						
12.6						
12.75						
12.8						
12.99						
12.99						
12.9						
12.9						
12.8						
12.99						
12.8						
12.9						
12.94						
13						
12.8						
12.8						
12.8						
12.8						
12.9						
12.9						
13						
12.81						
12.9						
12.9						
12.9						
12.9						
13						
12.9						
12.9						
12.9						
13						
12.1						
11.8						
11.72						
12						
12.49						
12.65						
12.8						
13						
12.9						
13.05						
13.1						
13.1						
13.3						
13.5						
13.6						
13.5						
13.5						
13.7						
13.3						
13.25						
13.3						
13.37						
13.29						
12.75						
12.85						
12.95						
13.3						
12.9						
12.95						
13.3						
13.35						
13						
13.6						
13.7						
13.6						
13.5						
13.9						
13.79						
13.8						
13.8						
13.7						
13.89						
13.7						
13.7						
13.95						
13.95						
14						
13.95						
13.95						
13.95						
13.9						
13.95						
13.8						
13.3						
12.9						
12.9						
13.1						
13.1						
13.1						
13						
13.1						
13.07						
12.85						
12.85						
13						
13.1						
13.1						
13						
12.9						
13.1						
13.19						
13						
13.19						
13.2						
12.9						
12.8						
12.81						
12.8						
13.2						
13.1						
12.8						
12.8						
12.8						
12.76						
12.85						
12.7						
12.7						
12.91						
12.94						
12.69						
13						
12.8						
12.95						
12.76						
12.55						
12.5						
12.5						
12.37						
12.54						
12.5						
12.5						
12.38						
11.99						
12.47						
12.61						
12.11						
12.28						
12.38						
12.54						
12.7						
12.97						
12.84						
13.25						
13.35						
13.36						
13.3						
13.2						
13.6						
13.3						
13.4						
13.42						
13.5						
13.29						
13.59						
13.6						
13.5						
13.6						
13.75						
13.82						
13.82						
13.8						
13.7						
13.72						
13.8						
13.72						
13.74						
14						
14.1						
14.4						
14.4						
14.04						
14						
13.98						
13.99						
12.98						
12.99						
13						
13.15						
13.45						
13.5						
13.97						
14						
14.27						
14.07						
14.5						
15.04						
